,Year of Release,Game Title,Game Price,Score,Votes,Genre
0,2013,Tomb Raider,2.99,8.61,221421,Adventure
1,2013,Don't Starve,2.49,8.6,101301,Survival
2,2013,"Papers, Please",9.99,8.58,59499,Political
3,2013,The Wolf Among Us,14.99,8.58,30215,Adventure
4,2013,Outlast,19.99,8.57,100327,Horror
5,2013,Age of Empires II (2013),19.99,8.51,97127,Strategy
6,2013,Gunpoint,9.99,8.48,12343,Stealth
7,2013,The Walking Dead: Season Two,14.99,8.45,27239,Zombies
8,2013,Game Dev Tycoon,9.99,8.43,40140,Management
9,2013,Project Zomboid,19.99,8.39,194306,Survival
10,2013,BioShock Infinite,29.99,8.39,131532,FPS
11,2013,Call of Juarez: Gunslinger,14.99,8.38,32574,Western
12,2013,Trine 2: Complete Story,19.99,8.38,20782,Puzzle Platformer
13,2013,Dust: An Elysian Tail,2.99,8.37,17836,Action
14,2013,Brothers - A Tale of Two Sons,14.99,8.36,39774,Adventure
15,2013,Antichamber,19.99,8.32,15993,Puzzle
16,2013,LEGO® Marvel™ Super Heroes,19.99,8.32,19223,LEGO
17,2013,Skullgirls 2nd Encore,24.99,8.3,27769,Fighting
18,2013,PAC-MAN™ Championship Edition DX+,9.99,8.29,7369,Arcade
19,2013,Risk of Rain,9.99,8.27,28780,Action Roguelike
20,2013,Sonic & All-Stars Racing Transformed Collection,9.99,8.24,15586,Racing
21,2013,DmC: Devil May Cry,7.49,8.24,25586,Action
22,2013,Long Live The Queen,9.99,8.24,6823,Visual Novel
23,2013,The Stanley Parable,14.99,8.21,43308,Comedy
24,2013,The Swapper,14.99,8.2,7022,Puzzle
25,2013,FINAL FANTASY VII,5.99,8.2,23281,JRPG
26,2013,Space Rangers HD: A War Apart,14.99,8.2,5749,Space
27,2013,100% Orange Juice,6.99,8.2,24117,Anime
28,2013,Enigmatis 2: The Mists of Ravenwood,9.99,8.19,1384,Hidden Object
29,2013,Brutal Legend,4.49,8.18,17432,Action
30,2013,"Cook, Serve, Delicious!",9.99,8.18,5353,Time Management
31,2013,Rogue Legacy,2.99,8.18,18006,Roguevania
